epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2273,1.23618,4.5286,0.67651,2.43956,1.37574,0.40109,0.80432,0.55806,0.38854,0.25115,0.48211,0.2144,0.03648,0.96004,4.24671,0.6015,1.92636,1.06932,0.000408497,0.000408497,0.000408497
2,51.0753,0.94366,3.51175,0.62907,1.34698,1.09344,0.69437,0.78655,0.83603,0.60367,0.61159,0.66683,0.65863,0.24035,0.96823,2.93823,0.52856,1.2424,1.07972,0.000816994,0.000816994,0.000816994
3,67.9358,0.88857,2.58027,0.56834,1.01156,1.06977,0.81925,0.843,0.91908,0.70732,0.7296,0.76759,0.74755,0.35072,0.80967,2.19161,0.27269,0.81137,1.00097,0.00121724,0.00121724,0.00121724
4,83.7921,0.85197,1.83294,0.49725,0.86119,1.04764,0.81879,0.86512,0.89498,0.6658,0.77,0.81054,0.79544,0.48682,0.83767,1.60992,0.18624,0.84054,1.0309,0.00121287,0.00121287,0.00121287
5,102.06,0.81926,1.47186,0.45979,0.7682,1.04163,0.86422,0.92078,0.96647,0.79662,0.85266,0.90925,0.94598,0.76128,0.67702,0.72921,0.12719,0.7335,0.95079,0.0012005,0.0012005,0.0012005
6,120.403,0.75906,1.12118,0.4255,0.67708,1.00682,0.92599,0.9605,0.98166,0.80387,0.91753,0.95161,0.96943,0.85092,0.68547,0.48344,0.1054,0.51782,0.94128,0.00118812,0.00118812,0.00118812
7,139.7,0.7641,1.01544,0.4087,0.67239,1.01102,0.96252,0.98327,0.98758,0.81706,0.947,0.96765,0.95992,0.87313,0.65232,0.48347,0.09847,0.50084,0.92567,0.00117575,0.00117575,0.00117575
8,157.505,0.73799,0.86364,0.38542,0.62482,0.99494,0.95823,0.98155,0.9841,0.81892,0.94922,0.9725,0.97108,0.90615,0.66998,0.33991,0.09726,0.46471,0.94072,0.00116337,0.00116337,0.00116337
9,176.873,0.74111,0.93911,0.39203,0.61912,0.99734,0.95978,0.9853,0.98893,0.84435,0.95079,0.97964,0.97973,0.92265,0.6286,0.33587,0.0913,0.45458,0.91938,0.001151,0.001151,0.001151
10,195.965,0.72514,0.88125,0.37945,0.58414,0.98984,0.95816,0.95003,0.98284,0.83897,0.9509,0.94296,0.97427,0.92901,0.60618,0.34122,0.09217,0.43552,0.90744,0.00113863,0.00113863,0.00113863
11,214.202,0.70937,0.79142,0.37485,0.56165,0.98614,0.93627,0.94265,0.97818,0.83927,0.91444,0.94108,0.96086,0.89985,0.61341,0.45578,0.09086,0.46243,0.91202,0.00112625,0.00112625,0.00112625
