epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0558,1.2171,3.9652,0.63465,2.20591,1.35734,0.65675,0.83846,0.78664,0.54643,0.60364,0.74135,0.65646,0.29213,0.90145,2.31578,0.46204,2.00644,1.02596,0.000408497,0.000408497,0.000408497
2,50.4744,0.92427,2.29756,0.50431,1.15842,1.07576,0.71996,0.71768,0.81344,0.57751,0.66721,0.65888,0.69982,0.3899,1.02308,2.01337,0.22012,1.60006,1.15954,0.000816994,0.000816994,0.000816994
3,73.1365,0.88494,1.56764,0.42013,0.95128,1.06488,0.64698,0.56176,0.63091,0.40342,0.61455,0.54003,0.59522,0.37592,1.25987,1.60376,0.14644,2.67621,1.31731,0.00121724,0.00121724,0.00121724
4,95.3148,0.85518,1.18935,0.37126,0.83283,1.04652,0.90365,0.90896,0.96491,0.75475,0.87403,0.89246,0.93481,0.76054,0.79064,0.78934,0.05477,0.76004,1.00788,0.00121287,0.00121287,0.00121287
5,119.439,0.80684,1.07827,0.35715,0.7335,1.03841,0.94961,0.96368,0.97346,0.78842,0.93975,0.95203,0.9599,0.79869,0.73369,0.60889,0.04066,0.65762,0.97717,0.0012005,0.0012005,0.0012005
6,142.177,0.76351,0.89825,0.3339,0.64091,1.01161,0.93927,0.96406,0.98449,0.80142,0.9168,0.9411,0.95175,0.81354,0.69899,0.60622,0.0703,0.51465,0.95475,0.00118812,0.00118812,0.00118812
7,166.72,0.75685,0.80686,0.32469,0.6354,1.01934,0.90747,0.84278,0.9028,0.66211,0.81441,0.76072,0.75809,0.58076,1.04327,1.70204,0.11981,1.23244,1.16732,0.00117575,0.00117575,0.00117575
8,191.261,0.73617,0.71916,0.30072,0.59246,1.00167,0.96961,0.97879,0.98748,0.82964,0.96147,0.97125,0.97691,0.93227,0.63164,0.31906,0.04276,0.49102,0.94477,0.00116337,0.00116337,0.00116337
9,214.034,0.73132,0.74358,0.31042,0.58449,1.00496,0.96552,0.98081,0.98539,0.82642,0.95554,0.97024,0.96932,0.94065,0.64567,0.30497,0.05303,0.46014,0.9508,0.001151,0.001151,0.001151
10,236.688,0.72377,0.69103,0.30281,0.57234,1.0003,0.95222,0.98464,0.98523,0.83415,0.9444,0.97654,0.97895,0.94169,0.63861,0.31463,0.0463,0.41091,0.93523,0.00113863,0.00113863,0.00113863
11,259.394,0.72116,0.64694,0.29967,0.55068,0.99643,0.92978,0.97133,0.97178,0.79814,0.90641,0.93501,0.92502,0.86578,0.68227,0.59296,0.04392,0.51767,0.97096,0.00112625,0.00112625,0.00112625
12,282.399,0.71395,0.57889,0.28748,0.53477,0.9987,0.96052,0.99589,0.98685,0.82209,0.95149,0.98676,0.97608,0.95436,0.66066,0.27608,0.02983,0.43269,0.94909,0.00111388,0.00111388,0.00111388
13,304.966,0.70155,0.56236,0.28524,0.52038,0.99418,0.95257,0.98377,0.98683,0.84364,0.94184,0.97275,0.97249,0.94062,0.60986,0.28731,0.03082,0.42544,0.9204,0.0011015,0.0011015,0.0011015
14,327.676,0.68669,0.54313,0.28193,0.50869,0.9878,0.96679,0.97695,0.98817,0.84181,0.95272,0.9625,0.96799,0.95335,0.61118,0.29863,0.02655,0.42054,0.92556,0.00108913,0.00108913,0.00108913
15,353.015,0.67559,0.52789,0.27209,0.49119,0.98277,0.97467,0.98644,0.99015,0.83656,0.96674,0.97805,0.97667,0.96457,0.62869,0.23741,0.02213,0.40584,0.94023,0.00107675,0.00107675,0.00107675
16,375.696,0.68618,0.50893,0.26952,0.49589,0.98826,0.96633,0.99167,0.98932,0.85193,0.95943,0.9846,0.98215,0.969,0.5981,0.19791,0.02439,0.36579,0.92162,0.00106437,0.00106437,0.00106437
17,399.175,0.66272,0.49281,0.26764,0.4851,0.97638,0.95851,0.99032,0.98614,0.84414,0.95066,0.98244,0.97913,0.97348,0.60084,0.20461,0.01959,0.39083,0.92562,0.001052,0.001052,0.001052
18,422.714,0.65317,0.43618,0.25586,0.45728,0.97023,0.96915,0.99173,0.99232,0.84873,0.96305,0.98337,0.98426,0.96598,0.59865,0.18974,0.02171,0.36949,0.92213,0.00103962,0.00103962,0.00103962
19,446.423,0.6589,0.44219,0.26113,0.46244,0.97477,0.97464,0.99008,0.98932,0.85302,0.9698,0.98542,0.98428,0.97652,0.59955,0.14887,0.01791,0.33851,0.92121,0.00102725,0.00102725,0.00102725
20,468.069,0.64978,0.44533,0.2523,0.45476,0.97064,0.95477,0.99071,0.98179,0.84773,0.94906,0.98484,0.97445,0.95139,0.58792,0.22049,0.01332,0.37996,0.91983,0.00101488,0.00101488,0.00101488
21,491.249,0.66007,0.42301,0.26159,0.4494,0.97603,0.97896,0.99071,0.99346,0.85855,0.96877,0.97592,0.98005,0.96558,0.5839,0.21394,0.01371,0.33264,0.91435,0.0010025,0.0010025,0.0010025
22,514.901,0.64428,0.4135,0.2577,0.44642,0.96464,0.98479,0.99089,0.99248,0.86317,0.97898,0.98502,0.98723,0.98146,0.56678,0.15415,0.02072,0.32698,0.89914,0.000990125,0.000990125,0.000990125
23,537.769,0.64393,0.41227,0.25961,0.44173,0.9714,0.98378,0.99364,0.99265,0.86921,0.9799,0.98843,0.99017,0.98714,0.5539,0.14398,0.01637,0.32239,0.90121,0.00097775,0.00097775,0.00097775
24,562.029,0.62964,0.41494,0.24604,0.43184,0.9622,0.98815,0.98891,0.99438,0.87559,0.96806,0.96905,0.9689,0.95672,0.54883,0.26472,0.01393,0.32189,0.89681,0.000965375,0.000965375,0.000965375
25,581.994,0.62653,0.3863,0.24387,0.42386,0.95561,0.98694,0.99406,0.9935,0.86752,0.98445,0.98672,0.99004,0.98722,0.5553,0.14247,0.01548,0.31864,0.90095,0.000953,0.000953,0.000953
