epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4656,1.19944,3.96607,0.62604,2.19857,1.34705,0.78346,0.81136,0.87795,0.63992,0.65495,0.69275,0.66815,0.24731,0.92545,2.72733,0.4213,1.14432,1.02018,0.000409226,0.000409226,0.000409226
2,56.4327,0.91522,2.26983,0.4974,1.0351,1.06398,0.6267,0.64552,0.69469,0.44292,0.57847,0.599,0.62909,0.29875,1.30483,2.17639,0.20366,1.73268,1.28175,0.000817717,0.000817717,0.000817717
3,80.622,0.9074,1.50192,0.40968,0.89898,1.06706,0.84518,0.88662,0.9194,0.70316,0.84084,0.8725,0.90128,0.71125,0.85247,0.82559,0.09771,0.85429,0.98823,0.00121796,0.00121796,0.00121796
4,105.583,0.8629,1.19377,0.36556,0.7888,1.04082,0.86462,0.90642,0.94483,0.7196,0.84495,0.88845,0.91813,0.74172,0.88306,0.81091,0.06497,0.85833,1.03348,0.00121287,0.00121287,0.00121287
5,131.102,0.85791,1.05357,0.35175,0.73847,1.04993,0.92793,0.96092,0.98509,0.78622,0.9228,0.9557,0.97685,0.86666,0.7829,0.47994,0.05235,0.65193,0.97787,0.0012005,0.0012005,0.0012005
6,158.344,0.81358,0.90309,0.32814,0.69016,1.03059,0.93655,0.98359,0.98035,0.79092,0.91336,0.95907,0.94305,0.81318,0.78983,0.69685,0.05133,0.57709,0.98033,0.00118812,0.00118812,0.00118812
7,186.091,0.79393,0.84092,0.31831,0.66346,1.0204,0.94062,0.97501,0.97993,0.79934,0.92888,0.96315,0.96298,0.90257,0.72935,0.46852,0.0316,0.61264,0.94794,0.00117575,0.00117575,0.00117575
8,213.685,0.79177,0.73847,0.30988,0.63464,1.01904,0.97979,0.97442,0.99242,0.82144,0.98029,0.97442,0.9924,0.96028,0.71146,0.28676,0.03806,0.46611,0.93913,0.00116337,0.00116337,0.00116337
9,240.296,0.76961,0.67631,0.30115,0.60903,1.00992,0.96357,0.98755,0.98879,0.82453,0.96141,0.98532,0.98835,0.96315,0.66406,0.26969,0.03449,0.55604,0.92098,0.001151,0.001151,0.001151
10,267.041,0.74762,0.68501,0.28562,0.58637,0.98951,0.94841,0.95691,0.98237,0.81667,0.94035,0.95104,0.97796,0.94397,0.6949,0.29525,0.03787,0.4971,0.92906,0.00113863,0.00113863,0.00113863
11,293.62,0.75502,0.68962,0.28996,0.59334,1.00029,0.96187,0.97793,0.98604,0.82386,0.95893,0.97495,0.98448,0.95737,0.65956,0.23331,0.0245,0.42964,0.91134,0.00112625,0.00112625,0.00112625
12,320.293,0.74005,0.60921,0.2904,0.56324,0.98825,0.97102,0.98766,0.9903,0.83568,0.95927,0.97555,0.97406,0.93545,0.64521,0.3078,0.01698,0.40806,0.9199,0.00111388,0.00111388,0.00111388
13,347.942,0.73362,0.52145,0.2758,0.55302,0.98956,0.97511,0.99519,0.98981,0.83224,0.97409,0.99416,0.98938,0.97893,0.65531,0.16372,0.02283,0.39933,0.91623,0.0011015,0.0011015,0.0011015
14,375.898,0.72474,0.55268,0.28364,0.5368,0.98971,0.97451,0.99073,0.99241,0.84009,0.97,0.98612,0.98561,0.96967,0.64766,0.29398,0.023,0.39507,0.91681,0.00108913,0.00108913,0.00108913
15,402.906,0.71808,0.48435,0.27085,0.5201,0.98372,0.97655,0.99658,0.99188,0.84054,0.97553,0.99554,0.99181,0.98,0.63729,0.17082,0.02037,0.39372,0.91197,0.00107675,0.00107675,0.00107675
16,430.369,0.70253,0.52178,0.2715,0.51599,0.97948,0.97268,0.98316,0.98888,0.84694,0.96954,0.98005,0.98502,0.97953,0.63418,0.16754,0.0148,0.38445,0.91523,0.00106437,0.00106437,0.00106437
17,457.848,0.70153,0.50752,0.27607,0.50307,0.98091,0.97867,0.99346,0.99289,0.83713,0.97662,0.99139,0.99188,0.9901,0.64225,0.11252,0.01836,0.37708,0.91348,0.001052,0.001052,0.001052
18,485.798,0.68792,0.43417,0.26512,0.49365,0.97249,0.94638,0.98917,0.97727,0.80432,0.43763,0.45656,0.29028,0.15915,0.73056,4.25763,0.03128,0.42879,0.96106,0.00103962,0.00103962,0.00103962
19,512.194,0.67893,0.40537,0.26579,0.4844,0.9761,0.97403,0.98076,0.98903,0.84885,0.97094,0.97762,0.98771,0.98416,0.61615,0.13238,0.01914,0.36905,0.9155,0.00102725,0.00102725,0.00102725
20,532.904,0.68381,0.41997,0.26095,0.48962,0.97318,0.95729,0.99765,0.98767,0.8402,0.95729,0.99765,0.98776,0.98432,0.63179,0.12005,0.01162,0.38173,0.91466,0.00101488,0.00101488,0.00101488
